Ligand,Best Score
lig_0,-3.912
lig_1,-3.889
lig_10,-4.188
lig_100,-7.622
lig_101,-6.643
lig_102,-7.118
lig_103,-4.051
lig_104,-4.053
lig_105,-4.275
lig_106,-5.358
lig_107,-3.848
lig_108,-4.122
lig_109,-5.001
lig_11,-3.945
lig_110,-3.873
lig_111,-3.982
lig_112,-5.365
lig_113,-4.05
lig_114,-4.173
lig_115,-5.347
lig_116,-4.835
lig_117,-4.168
lig_118,-4.605
lig_119,-4.597
lig_12,-4.068
lig_120,-4.677
lig_121,NA
lig_122,NA
lig_123,NA
lig_124,-4.805
lig_125,-4.054
lig_126,-4.998
lig_127,-4.552
lig_128,-5.534
lig_129,NA
lig_13,-3.775
lig_130,-5.058
lig_131,-4.953
lig_132,NA
lig_133,NA
lig_134,NA
lig_135,NA
lig_136,NA
lig_137,-5.641
lig_138,-5.007
lig_139,-5.444
lig_14,-4.087
lig_140,-5.879
lig_141,-5.642
lig_142,-6.401
lig_143,-5.624
lig_144,-6.744
lig_145,-5.767
lig_146,-6.471
lig_147,-5.464
lig_148,-6.268
lig_149,-6.685
lig_15,-3.9
lig_150,-5.442
lig_151,-6.367
lig_152,-6.412
lig_153,-6.223
lig_154,-6.503
lig_155,-5.561
lig_156,-6.452
lig_157,-6.668
lig_158,-5.891
lig_159,-6.289
lig_16,-4.112
lig_160,-6.5
lig_161,-7.751
lig_162,-7.357
lig_163,-7.42
lig_164,-7.091
lig_165,-7.456
lig_166,-6.675
lig_167,-7.544
lig_168,-6.459
lig_169,-7.606
lig_17,-4.275
lig_170,-7.507
lig_171,-6.189
lig_172,-6.314
lig_173,-7.266
lig_174,-6.827
lig_175,-7.379
lig_176,-7.117
lig_177,-7.195
lig_178,-7.183
lig_179,-7.485
lig_18,-4.21
lig_180,-7.301
lig_181,-7.657
lig_182,-7.716
lig_183,-6.989
lig_184,-6.691
lig_185,-7.473
lig_186,-8.0
lig_187,NA
lig_188,-4.613
lig_189,-4.93
lig_19,-3.844
lig_190,NA
lig_191,NA
lig_192,NA
lig_193,-4.906
lig_194,NA
lig_195,-3.998
lig_196,-4.086
lig_197,-4.622
lig_198,-6.476
lig_199,-4.051
lig_2,-3.895
lig_20,-4.718
lig_200,-4.552
lig_201,NA
lig_202,NA
lig_203,-4.794
lig_204,-4.553
lig_205,-4.27
lig_206,-4.619
lig_207,-5.498
lig_208,-4.04
lig_209,-5.139
lig_21,-4.96
lig_210,-5.063
lig_211,-5.381
lig_212,-6.018
lig_213,NA
lig_214,NA
lig_215,-6.824
lig_216,-6.824
lig_217,-6.916
lig_218,-5.361
lig_219,-4.882
lig_22,-5.311
lig_220,-4.066
lig_221,NA
lig_222,-4.075
lig_223,-6.158
lig_224,-5.675
lig_225,-5.303
lig_226,-5.823
lig_227,-5.993
lig_228,-6.148
lig_229,-5.414
lig_23,-5.168
lig_230,-5.354
lig_231,-5.754
lig_232,-5.349
lig_233,-5.813
lig_234,-6.28
lig_235,-6.477
lig_236,-6.097
lig_237,NA
lig_238,-4.951
lig_239,-7.905
lig_24,-4.421
lig_240,-6.877
lig_241,-7.005
lig_242,-6.857
lig_243,-5.647
lig_244,-6.181
lig_245,-6.02
lig_246,-6.524
lig_247,-5.948
lig_248,-6.575
lig_249,-7.071
lig_25,-5.292
lig_250,-7.81
lig_251,-8.27
lig_252,-5.854
lig_253,-7.446
lig_254,-6.32
lig_255,-5.934
lig_256,-3.785
lig_257,-3.476
lig_258,-7.971
lig_259,-7.351
lig_26,-5.257
lig_260,-7.274
lig_261,-6.539
lig_262,-7.064
lig_263,-6.871
lig_264,-6.469
lig_265,-6.513
lig_266,-6.893
lig_267,-6.509
lig_268,-6.421
lig_269,-6.476
lig_27,-4.14
lig_270,-6.814
lig_271,-6.86
lig_272,-6.34
lig_273,-6.541
lig_274,-5.984
lig_275,-4.048
lig_276,-6.139
lig_277,-6.933
lig_278,-6.054
lig_279,-6.636
lig_28,-4.262
lig_280,-6.132
lig_281,-5.969
lig_282,-6.46
lig_283,-6.168
lig_284,-7.007
lig_285,-6.327
lig_286,-5.963
lig_287,-5.46
lig_288,-5.665
lig_289,-5.422
