molecule_chembl_id,reason_removed
CHEMBL2114210,Non-IC50 endpoint
CHEMBL87169,Non-IC50 endpoint
CHEMBL2115215,Non-IC50 endpoint
CHEMBL121223,Non-IC50 endpoint
CHEMBL323803,Non-IC50 endpoint
CHEMBL120488,Non-IC50 endpoint
CHEMBL333917,Non-IC50 endpoint
CHEMBL331723,Non-IC50 endpoint
CHEMBL120226,Non-IC50 endpoint
CHEMBL120007,Non-IC50 endpoint
CHEMBL330763,Non-IC50 endpoint
CHEMBL332468,Non-IC50 endpoint
CHEMBL120395,Non-IC50 endpoint
CHEMBL332802,Non-IC50 endpoint
CHEMBL120489,Non-IC50 endpoint
CHEMBL432221,Non-IC50 endpoint
CHEMBL121283,Non-IC50 endpoint
CHEMBL120169,Non-IC50 endpoint
CHEMBL415713,Non-IC50 endpoint
CHEMBL44,Non-IC50 endpoint
CHEMBL1089559,Non-IC50 endpoint
CHEMBL1093264,Non-IC50 endpoint
CHEMBL1093524,Non-IC50 endpoint
CHEMBL1093525,Non-IC50 endpoint
CHEMBL1258528,Non-IC50 endpoint
CHEMBL1258529,Non-IC50 endpoint
CHEMBL1258643,Non-IC50 endpoint
CHEMBL1258644,Non-IC50 endpoint
CHEMBL1093264,Non-IC50 endpoint
CHEMBL1561,Non-IC50 endpoint
CHEMBL1276973,Non-IC50 endpoint
CHEMBL1208974,Non-IC50 endpoint
CHEMBL1277062,Non-IC50 endpoint
CHEMBL1277063,Non-IC50 endpoint
CHEMBL1277152,Non-IC50 endpoint
CHEMBL1277153,Non-IC50 endpoint
CHEMBL1277240,Non-IC50 endpoint
CHEMBL1277241,Non-IC50 endpoint
CHEMBL1258644,Non-IC50 endpoint
CHEMBL1258644,Non-IC50 endpoint
CHEMBL1258529,Non-IC50 endpoint
CHEMBL1208974,Non-IC50 endpoint
CHEMBL4754034,Non-IC50 endpoint
CHEMBL4749306,Non-IC50 endpoint
CHEMBL4750690,Non-IC50 endpoint
CHEMBL4760193,Non-IC50 endpoint
CHEMBL457303,Non-IC50 endpoint
CHEMBL115452,Non-IC50 endpoint
CHEMBL5202537,Non-IC50 endpoint
CHEMBL5286499,Non-IC50 endpoint
CHEMBL5273816,Non-IC50 endpoint
CHEMBL5279273,Non-IC50 endpoint
CHEMBL5589972,Non-IC50 endpoint
CHEMBL176679,Missing values
CHEMBL369361,Missing values
CHEMBL170431,Missing values
CHEMBL2114210,Duplicate SMILES
CHEMBL44,Duplicate SMILES
CHEMBL1230806,Duplicate SMILES
CHEMBL307429,Duplicate SMILES
CHEMBL377520,Duplicate SMILES
CHEMBL307429,Duplicate SMILES
CHEMBL1029,Duplicate SMILES
CHEMBL574645,Duplicate SMILES
CHEMBL1086996,Duplicate SMILES
CHEMBL1561,Duplicate SMILES
CHEMBL476960,Duplicate SMILES
CHEMBL404271,Duplicate SMILES
CHEMBL1561,Duplicate SMILES
CHEMBL307429,Duplicate SMILES
CHEMBL307429,Duplicate SMILES
CHEMBL404271,Duplicate SMILES
CHEMBL80254,Duplicate SMILES
CHEMBL404271,Duplicate SMILES
CHEMBL1561,Duplicate SMILES
CHEMBL404271,Duplicate SMILES
CHEMBL404271,Duplicate SMILES
CHEMBL404271,Duplicate SMILES
CHEMBL4856778,Duplicate SMILES
CHEMBL5282121,Duplicate SMILES
CHEMBL5287329,Duplicate SMILES
CHEMBL187043,Duplicate SMILES
CHEMBL5287286,Duplicate SMILES
CHEMBL5287620,Duplicate SMILES
CHEMBL5266980,Duplicate SMILES
CHEMBL5270478,Duplicate SMILES
CHEMBL3704820,Duplicate SMILES
CHEMBL26323,Duplicate SMILES
CHEMBL184574,Duplicate SMILES
CHEMBL5271324,Duplicate SMILES
CHEMBL404271,Duplicate SMILES
CHEMBL404271,Duplicate SMILES
CHEMBL404271,Duplicate SMILES
CHEMBL404271,Duplicate SMILES
CHEMBL404271,Duplicate SMILES
CHEMBL404271,Duplicate SMILES
CHEMBL404271,Duplicate SMILES
